cabra	<img src="_cabras.JPG">	cabras	as cabras	/ɐʃ ˈkabɾɐʃ/	/aʃ ˈkabɾas/	sf			goat	/ˈɡoʊt/	/ˈɡəʊt/				cabra						chèvre						Ziege						cabra						capra												Portugues::Vocabulario::Animais Vocabulary::Animals Vocabulary::Animals::Basic Vocabulary::Animals::Farm
caimão	<img src="_caiman.JPG">	caimão	o caimão	/u kɐjˈmɐ̃w̃/	/u kajˈmɐ̃w̃/	sm			caiman	/ˈkʰeɪmən/	/ˈkʰeɪmən/				caimán						caïman						Kaiman						caima						alligatore												Portugues::Vocabulario::Animais Vocabulary::Animals Vocabulary::Animals::Basic
